IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP18,DEC_TP6018,DEC_Q118,DEC_MED18,DEC_Q318,DEC_EQ18,DEC_D118,DEC_D218,DEC_D318,DEC_D418,DEC_D618,DEC_D718,DEC_D818,DEC_D918,DEC_RD18,DEC_S80S2018,DEC_GI18,DEC_PACT18,DEC_PTSA18,DEC_PCHO18,DEC_PBEN18,DEC_PPEN18,DEC_PAUT18,DEC_NOTE18
010040101,Les Perouses-Triangle d'Activité,01004,Ambérieu-en-Bugey,45.4,31.0,11150.0,18540.0,25900.0,0.8,5500.0,9490.0,12830.0,15670.0,21280.0,24160.0,27280.0,33860.0,6.2,7.2,0.332,68.9,63.2,3.1,2.6,27.3,3.8,0
010040102,Longeray-Gare,01004,Ambérieu-en-Bugey,39.3,39.4,8890.0,16180.0,23290.0,0.89,3800.0,7690.0,10230.0,13100.0,18860.0,21560.0,25200.0,31450.0,8.3,9.8,0.366,69.6,62.9,4.5,2.2,26.9,3.5,0
010040201,Centre-Saint-Germain-Vareilles,01004,Ambérieu-en-Bugey,43.7,28.8,11830.0,18870.0,26560.0,0.78,6770.0,9990.0,13210.0,16220.0,21490.0,24980.0,28600.0,35190.0,5.2,7.4,0.347,67.7,60.6,3.1,4.0,28.3,4.0,0
010040202,Tiret-Les Allymes,01004,Ambérieu-en-Bugey,61.1,14.6,17180.0,24780.0,33280.0,0.65,10380.0,15570.0,19020.0,21870.0,27830.0,31270.0,36350.0,44680.0,4.3,7.3,0.387,62.7,57.5,2.1,3.1,21.2,16.1,0
010330102,Centre Ville,01033,Valserhône,41.9,25.9,12660.0,19590.0,28730.0,0.82,6620.0,10530.0,13900.0,16820.0,22850.0,26590.0,31050.0,40890.0,6.2,8.6,0.365,70.2,63.8,4.1,2.3,25.8,4.0,0
010330103,Lancrans-Coupy-Vanchy,01033,Valserhône,46.7,21.2,14700.0,22970.0,34460.0,0.86,7870.0,12620.0,16130.0,19340.0,26910.0,31470.0,38430.0,49360.0,6.3,7.4,0.358,75.8,70.4,3.5,1.9,19.4,4.8,0
010330201,Arc Vouvray-Gare-Châtillon,01033,Valserhône,48.6,20.6,14850.0,24030.0,35020.0,0.84,8300.0,12610.0,16820.0,20820.0,27590.0,32380.0,39540.0,52960.0,6.4,8.3,0.374,71.1,64.4,3.3,3.4,25.7,3.2,0
010330202,Plateau de Musinens,01033,Valserhône,39.2,34.5,10180.0,17510.0,26160.0,0.91,5440.0,8840.0,11710.0,14430.0,20640.0,24390.0,29720.0,38410.0,7.1,8.7,0.375,66.8,62.2,3.6,1.0,31.4,1.8,0
010330301,Arlod,01033,Valserhône,36.7,29.9,11670.0,19410.0,28970.0,0.89,5820.0,10160.0,13000.0,17040.0,23310.0,26740.0,32230.0,38920.0,6.7,7.9,0.35,78.4,72.8,4.9,0.7,19.8,1.8,0
010330401,Châtillon-en-Michaille,01033,Valserhône,54.5,11.4,19150.0,27100.0,39570.0,0.75,12280.0,17230.0,21230.0,24020.0,31270.0,36310.0,43170.0,55040.0,4.5,5.7,0.323,76.2,70.6,2.9,2.7,19.0,4.8,0
