IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP18,DEC_TP6018,DEC_Q118,DEC_MED18,DEC_Q318,DEC_EQ18,DEC_D118,DEC_D218,DEC_D318,DEC_D418,DEC_D618,DEC_D718,DEC_D818,DEC_D918,DEC_RD18,DEC_S80S2018,DEC_GI18,DEC_PACT18,DEC_PTSA18,DEC_PCHO18,DEC_PBEN18,DEC_PPEN18,DEC_PAUT18,DEC_NOTE18
751010201,Les Halles 1,75101,Paris 1er Arrondissement,70,17.4,18160,32230,54240,1.12,7600,14700,20980,26350,39050,47310,60610,81910,10.8,19.5,0.528,71.3,59.4,2.3,9.6,10.1,18.6,0
751010202,Les Halles 2,75101,Paris 1er Arrondissement,75.7,,23330,41130,70640,1.15,12630,20020,26220,33280,50890,61770,78870,118190,9.4,17.6,0.534,67,57.1,1.9,8,8.4,24.6,0
751010203,Les Halles 3,75101,Paris 1er Arrondissement,73.7,12.6,21050,36300,63270,1.16,10300,18130,23570,29180,44640,58040,74240,105440,10.2,17.6,0.536,67.8,58.2,1.9,7.7,13.2,19,0
751010204,Les Halles 4,75101,Paris 1er Arrondissement,71.5,13.8,19370,32570,55630,1.11,10110,16900,21760,27070,39050,48390,64520,87170,8.6,12.5,0.468,75.7,66.7,2.7,6.3,13,11.3,0
751010301,Palais Royal 1,75101,Paris 1er Arrondissement,75,13.5,21270,40930,70550,1.2,9320,18050,25160,32330,49890,62880,81390,120950,13,20.8,0.542,70.4,56.5,2,11.9,13.9,15.7,0
751010401,Place Vendome 1,75101,Paris 1er Arrondissement,79.7,,27240,51500,89620,1.21,12950,22730,30620,39570,61110,75250,105500,188120,14.5,26.5,0.617,64.4,53.9,1.2,9.3,10.3,25.3,0
751010402,Place Vendome 2,75101,Paris 1er Arrondissement,74.7,,22680,40750,79330,1.39,10950,19870,26050,33540,50080,65140,92010,135880,12.4,18.1,0.522,70.6,62.2,1.8,6.6,9.7,19.7,0
751020601,Vivienne 1,75102,Paris 2e Arrondissement,75.5,,22480,40070,70370,1.2,10990,19520,26290,32210,47860,61600,84400,125660,11.4,16.5,0.509,78.2,65.5,1.9,10.8,9,12.8,0
751020602,Vivienne 2,75102,Paris 2e Arrondissement,74.9,,21900,39380,62930,1.04,9600,18870,25530,30820,47070,56770,73460,99890,10.4,14.2,0.463,81.8,69,2.3,10.5,10.8,7.4,0
751020701,Mail 1,75102,Paris 2e Arrondissement,74.9,14.5,20430,37690,64910,1.18,9620,17200,24090,30920,45050,57200,73530,103190,10.7,14.7,0.483,77.3,68.4,2.6,6.3,9.6,13.1,0
751020702,Mail 2,75102,Paris 2e Arrondissement,75.5,14.5,21620,37780,62480,1.08,9100,17890,24030,30390,44970,55430,72780,114440,12.6,23.8,0.584,77.2,65.7,2,9.5,8.1,14.7,0
751020703,Mail 3,75102,Paris 2e Arrondissement,73.2,17.2,18370,35580,60360,1.18,8470,14830,21770,29040,44030,53140,70980,107300,12.7,17.5,0.49,82.1,69.5,2.9,9.7,7.7,10.2,0
751020801,Bonne Nouvelle 1,75102,Paris 2e Arrondissement,67.4,23.4,13620,30550,56860,1.42,6610,11490,17150,24700,38600,49520,64190,92470,14,18.1,0.493,83.7,69.8,3,10.9,8,8.3,0
751020802,Bonne Nouvelle 2,75102,Paris 2e Arrondissement,74.6,13.8,21560,39150,61270,1.01,10090,17950,24040,31370,45290,54170,70710,109520,10.9,14.1,0.466,80,68.1,3.4,8.5,10.7,9.3,0
751020803,Bonne Nouvelle 3,75102,Paris 2e Arrondissement,69.7,16.4,19330,33750,56720,1.11,9080,15590,21750,27880,41220,49990,65230,89190,9.8,13.7,0.453,79.3,70.5,3.3,5.5,10.3,10.4,0
751020804,Bonne Nouvelle 4,75102,Paris 2e Arrondissement,67.9,18.8,16980,32070,54000,1.15,7290,13540,19820,25730,40750,48460,59830,83160,11.4,14.5,0.454,85.7,72.9,3.4,9.4,5.9,8.4,0
751020805,Bonne Nouvelle 5,75102,Paris 2e Arrondissement,69.1,19.8,16290,30990,51260,1.13,7230,13130,19440,24740,38550,47100,56990,76450,10.6,14,0.453,86.4,76.2,3.2,7,7.3,6.3,0
751030901,Arts et Métiers 1,75103,Paris 3e Arrondissement,69.4,19.5,17010,33120,53810,1.11,7550,13350,20760,26960,39880,48200,61370,88350,11.7,18.5,0.499,79.9,71.8,2.6,5.5,11.8,8.3,0
751030902,Arts et Métiers 2,75103,Paris 3e Arrondissement,71,17.6,17570,33700,53010,1.05,7560,14600,21290,26810,39810,48090,59930,78990,10.4,12.7,0.427,80,70.9,3.2,5.9,11.5,8.5,0
751030903,Arts et Métiers 3,75103,Paris 3e Arrondissement,73.4,13.5,20600,35540,58550,1.07,9500,17400,23680,29870,43450,52110,68230,92380,9.7,13.4,0.462,83.5,67.9,3,12.6,9.1,7.4,0
751030904,Arts et Métiers 4,75103,Paris 3e Arrondissement,67.3,21.3,15120,29390,49340,1.16,6970,12520,18280,23710,36130,44300,56120,75390,10.8,15.9,0.462,82.8,72.9,3.8,6.1,9.3,7.9,0
751030905,Arts et Métiers 5,75103,Paris 3e Arrondissement,,,19690,36390,59000,1.08,9790,16480,22170,29000,43110,53960,67340,101630,10.4,18.8,0.526,77,66.3,2.9,7.8,9.6,13.4,0
751031001,Enfants Rouges 1,75103,Paris 3e Arrondissement,72.4,14.9,19440,34370,59310,1.16,9090,16280,23320,29870,42850,53980,66490,91790,10.1,13.9,0.459,79.5,67.3,3.3,8.9,10.2,10.3,0
751031002,Enfants Rouges 2,75103,Paris 3e Arrondissement,73.9,12.8,21240,40020,64770,1.09,11050,17530,25180,32940,47850,58760,80420,119270,10.8,14.2,0.464,78.1,66.2,2.2,9.7,13.1,8.8,0
